person_id,gender,Female,audio_vocab_1,audio_vocab_2,audio_vocab_3,audio_vocab_4,audio_vocab_5,audio_vocab_6,ctest_1,ctest_2,ctest_3,ctest_4,ctest_5,ctest_6,dictation_1,dictation_2,dictation_3,dictation_4,dictation_5,dictation_6,elicited_speech_1,elicited_speech_2,elicited_speech_3,elicited_speech_4,elicited_speech_5,elicited_speech_6,text_vocab_1,text_vocab_2,text_vocab_3,text_vocab_4,text_vocab_5,text_vocab_6,text_vocab_7,elicited_speech_7,dictation_7,audio_vocab_7,ctest_7
20,MALE,0,1.544829224,0.112267129,3.048356133,-0.794298141,1.544829224,3.048356133,16.11809555,-0.287682071,1.481604542,0.257829109,0.693147182,2.602689689,-4.111527252,-3.229198098,5.091620065,-10.38796507,-9.398999693,5.091620065,1.213285732,1.596311658,2.72209007,2.418308713,2.170981192,1.586748742,3.799796816,3.778654106,1.949819951,2.31637127,3.778654106,3.778654106,NA,NA,5.091620065,NA,NA
21,MALE,0,3.106649875,1.633721695,0.844005574,-0.661580961,1.626949797,-0.661580961,1.098612289,1.812378758,0.405465108,-0.154150678,1.504077396,2.484906649,-0.494049071,0.076299061,0.562657352,5.091620065,5.091620065,0.66732258,1.388932687,1.348608825,1.488260762,1.414055433,-16.11809555,1.322284201,2.41845565,1.966990419,-0.64565726,2.41845565,2.385736439,1.776866648,NA,1.075267582,NA,0.112267129,NA
22,FEMALE,1,1.014477605,1.626949797,0.112267129,-0.027409924,1.074473797,-4.59511985,1.481604542,1.134979934,0.875468738,0.944461609,16.11809555,1.213022638,5.091620065,-7.44331354,5.091620065,-7.36916054,5.091620065,-6.094155676,1.826364379,1.561030965,1.516287165,0.940042123,1.800492005,1.736443608,2.128800395,0.146949427,3.778654106,1.475518862,-1.212834846,2.371622852,NA,NA,-16.11809555,NA,NA
23,FEMALE,1,3.048356133,3.106649875,1.014477605,1.364739013,-0.572122905,3.106649875,2.456735779,1.658228077,16.11809555,2.302585092,1.60943791,1.526056301,5.091620065,5.091620065,-2.594386386,5.091620065,-2.630083824,5.091620065,0.793855388,0.779982995,0.526739819,0.594328731,0.623690367,0.206571128,2.41845565,3.799796816,3.778654106,3.741447316,3.778654106,2.385736439,NA,NA,-10.97641499,NA,NA
24,MALE,0,1.633721695,-1.347429542,3.106649875,-2.232553319,1.544829224,NA,0.998528831,-1.098612289,-0.162518931,-0.191055238,1.584120104,-0.379489622,-16.11809555,-16.11809555,-6.889234178,-2.971955393,5.091620065,NA,1.542518295,1.909849446,1.445534159,1.528782803,1.085961605,1.476944554,0.970335585,3.778654106,-0.006367062,0.92298659,1.857284326,NA,NA,NA,NA,NA,NA
25,MALE,0,-0.027409924,0.468271635,-0.027409924,3.106649875,0.844005574,0.122347706,-1.170071254,0.322773392,1.335001069,0.938269639,2.621038827,16.11809555,-0.407918636,5.091620065,5.091620065,-16.11809555,-7.943037705,-3.076400373,1.836810171,1.166821647,2.80242285,1.752038794,0.77619674,-16.11809555,3.778654106,1.147315951,0.6211273,1.506041471,-0.237209398,1.857284326,NA,NA,-6.481836535,NA,NA
26,MALE,0,0.112267129,1.626949797,3.048356133,0.112267129,1.074473797,-0.027409924,16.11809555,1.60943791,0.441832752,2.197224577,2.351375254,16.11809555,-12.45709751,-9.741309901,5.091620065,5.091620065,-8.343001856,-0.678914392,0.873664896,1.84182406,1.457960543,0.802174605,0.868438262,1.185127527,1.36482544,2.128800395,3.741447316,2.427877964,3.741447316,3.741447316,NA,NA,-3.473473409,NA,NA
27,MALE,0,1.544829224,-0.027409924,0.61173156,1.633721695,-0.027409924,1.544829224,2.484906649,16.11809555,1.343734745,16.11809555,0.826678574,0.530628253,5.091620065,5.091620065,0.533676778,-1.497215295,5.091620065,5.091620065,-16.11809555,-16.11809555,-16.11809555,1.468818175,-16.11809555,-16.11809555,3.684604335,1.147315951,2.371622852,2.128800395,1.966990419,1.913607406,NA,0.712950725,-5.903595989,NA,NA
28,MALE,0,-0.027409924,-1.68674975,-1.68674975,-4.59511985,1.014477605,-0.661580961,2.525728645,1.098612289,-0.91629073,0.125163143,0.470003628,-0.036367644,5.091620065,-0.407918636,-16.11809555,-14.16364989,-11.29780169,-16.11809555,16.11809555,1.675443588,2.405311813,1.356172528,1.695375469,2.578570904,1.387316525,1.059389057,2.31637127,-0.72985405,-0.625099905,0.158535429,NA,NA,NA,NA,0.371563558
29,MALE,0,0.470119715,0.104645755,1.364739013,0.122347706,0.122347706,-2.662899943,1.074514735,16.11809555,16.11809555,2.77258873,16.11809555,3.68887945,-5.668119674,5.091620065,5.091620065,-1.612706988,5.091620065,0.350651809,1.133137187,1.22787351,1.572975622,1.30125603,1.543576853,1.303818566,1.857284326,1.387316525,0.92298659,0.445850002,1.553962935,3.799796816,1.134904646,NA,NA,NA,NA
30,FEMALE,1,0.104645755,1.544829224,3.048356133,3.106649875,0.468271635,1.364739013,2.014903019,2.602689689,1.170071254,0.435318071,1.178654994,2.917770738,-16.11809555,5.091620065,-16.11809555,5.091620065,-2.971955393,5.091620065,1.730849302,1.400757627,1.860906397,1.761396446,1.127055101,-0.353858837,0.51862995,1.945754885,-0.287299612,2.371622852,3.778654106,0.331421034,NA,NA,5.091620065,NA,NA
31,MALE,0,1.364739013,0.122347706,1.544829224,0.112267129,1.544829224,-0.661580961,1.417066021,1.029619416,1.280933848,1.558144621,1.60943791,1.87180218,5.091620065,5.091620065,5.091620065,-0.366579387,-16.11809555,5.091620065,1.396820399,1.25882571,-16.11809555,0.515007309,1.162708737,3.878477733,1.857284326,1.967645716,3.799796816,3.778654106,3.778654106,2.238059399,NA,NA,NA,NA,1.916922614
32,FEMALE,1,1.544829224,3.048356133,1.626949797,3.048356133,3.106649875,1.633721695,1.658228077,1.981001471,16.11809555,2.639057324,0.826678574,1.488077058,5.091620065,5.091620065,-11.6160572,5.091620065,5.091620065,5.091620065,2.714597935,3.180654178,2.295250622,16.11809555,3.518680176,16.11809555,3.778654106,2.408079255,2.408079255,3.741447316,3.778654106,2.427877964,NA,4.553742994,5.091620065,NA,NA
33,MALE,0,1.544829224,3.048356133,1.364739013,1.626949797,0.61173156,-0.661580961,1.427116356,3.020424884,1.838279485,16.11809555,16.11809555,16.11809555,5.091620065,5.091620065,1.258705248,5.091620065,-3.424259687,5.091620065,1.778818781,1.212052275,-16.11809555,1.296033413,1.081549237,1.254536175,3.778654106,0.327700951,1.966990419,2.431618334,2.431618334,1.967645716,2.431618334,NA,NA,NA,NA
34,MALE,0,1.626949797,1.633721695,1.544829224,-2.232553319,-4.59511985,1.633721695,0.597836999,-0.133531391,0.619039208,-0.233614852,0,-0.424883195,-16.11809555,5.091620065,-16.11809555,-16.11809555,-16.11809555,-16.11809555,0.844814027,0.756954579,0.963025967,2.504108848,1.416432286,0.94914148,2.31637127,-0.760744947,-4.59511985,1.162261454,-0.241589478,1.059389057,NA,NA,NA,3.106649875,NA
35,MALE,0,1.633721695,1.626949797,1.544829224,1.633721695,3.106649875,1.626949797,16.11809555,1.60943791,0.91629073,2.197224577,1.673976432,0.211309094,5.091620065,-13.5228396,0.33280309,-15.03290609,-1.905331197,5.091620065,1.195031595,1.954525457,1.28409791,1.540823294,1.099421252,1.569277747,3.741447316,0.30512197,2.41845565,1.147315951,2.41845565,2.31637127,NA,NA,NA,3.106649875,NA
36,MALE,0,1.074473797,-0.765065957,1.014477605,1.074473797,1.544829224,-1.68674975,-16.11809555,-16.11809555,-16.11809555,-16.11809555,-16.11809555,-16.11809555,5.091620065,-16.11809555,5.091620065,-14.04366586,-16.11809555,5.091620065,1.629156172,1.471316052,1.605689415,1.336438695,0.167790917,1.93834123,2.408079255,1.966990419,2.385736439,1.242099154,0.6211273,-0.875445281,NA,NA,NA,-0.027409924,NA
37,MALE,0,1.626949797,-2.662899943,3.048356133,1.626949797,3.048356133,3.048356133,16.11809555,1.686398954,2.970414461,2.001480001,0.818310323,1.041453876,-0.407918636,1.48503689,-2.660158279,-10.14424674,5.091620065,5.091620065,1.628424232,1.394835926,-16.11809555,0.945477888,-16.11809555,1.539658007,3.778654106,2.427877964,1.115831854,2.41845565,2.31637127,0.30512197,NA,NA,NA,NA,-0.451985123
38,MALE,0,0.844005574,1.364739013,1.074473797,0.112267129,-4.59511985,1.633721695,2.251291801,0.405465108,0.934309238,1.87180218,0.737598942,0.693147182,5.091620065,5.091620065,-16.11809555,-16.11809555,-16.11809555,-4.653518739,1.618845778,1.867259119,1.190024086,1.174757936,1.760549797,0.961546398,3.741447316,0.6211273,-0.364017668,1.242099154,-1.18878923,0.174353384,NA,1.815024045,-16.11809555,NA,NA
39,FEMALE,1,0.112267129,1.633721695,1.626949797,0.112267129,0.112267129,1.626949797,-0.06899287,2.77258873,1.60943791,0.798507694,1.446918986,-0.538996499,-16.11809555,-16.11809555,5.091620065,5.091620065,-16.11809555,5.091620065,1.282368013,1.56901865,-0.101839366,0.000872048,0.590574078,1.031240232,3.778654106,-1.268352701,1.966990419,-0.280982763,2.41845565,2.427877964,NA,NA,NA,3.048356133,NA
40,MALE,0,1.544829224,-4.59511985,-0.027409924,3.048356133,1.633721695,3.048356133,1.386294361,0.287682071,1.029619416,2.995732265,2.268683541,-0.325422399,5.091620065,5.091620065,-16.11809555,-10.9085912,5.091620065,-12.02541316,0.912484044,2.0588523,1.521059565,1.781451085,3.28596452,-16.11809555,1.242099154,3.684604335,2.408079255,2.408079255,2.427877964,1.475518862,NA,NA,5.091620065,NA,NA
